id,lon,lat
8536110,-74.96,38.9683
8537121,-75.37668,39.30539
8539094,-74.8697,40.0817
8540433,-75.4095,39.811806
8545240,-75.14198,39.933056
8546252,-75.079315,39.979683
8548989,-74.75183,40.137333
8551762,-75.588974,39.582195
8551910,-75.571945,39.558334
8555889,-75.113335,38.986668
8557380,-75.11928,38.782833
8570283,-75.09167,38.32833
8573927,-75.81,39.52667
cb1301,-75.82762,39.53053
db0301,-75.13960266113281,39.94620132446289
